iter	RMSE
0	0.7659810853
1	0.7330581297
2	0.7027377641
3	0.6742329673
4	0.6485594374
5	0.6229764295
6	0.5989005417
7	0.5757107365
8	0.5546197095
9	0.5338820948
10	0.5142896409
11	0.4958880411
12	0.4787688591
13	0.4618128236
14	0.4462370674
15	0.4325449244
16	0.4183111994
17	0.4052949444
18	0.3932888707
19	0.3821522329
20	0.3710419105
21	0.3603562467
22	0.3505176198
23	0.341542916
24	0.3327564064
25	0.3244993154
26	0.3172603559
27	0.3106038811
28	0.3037999297
29	0.2973359386
30	0.291668783
31	0.2859598488
32	0.2808123783
33	0.2756277932
34	0.2705370395
35	0.2650692724
36	0.2600329702
37	0.255647724
38	0.2511608624
39	0.2476000109
40	0.2445151405
41	0.2412082219
42	0.2380110066
43	0.2353340978
44	0.2321728434
45	0.2292560815
46	0.2267885225
47	0.2245779222
48	0.2226936684
49	0.2208352416
50	0.2188028407
51	0.2171293331
52	0.2154388337
53	0.2140503023
54	0.2122834614
55	0.210747568
56	0.2092634598
57	0.2079905676
58	0.2066229384
59	0.2053173613
60	0.2042799712
61	0.2033114519
62	0.2022762316
63	0.2011700437
64	0.2001544326
65	0.1993731778
66	0.1983688996
67	0.1976263237
68	0.1965776314
69	0.1957868062
70	0.1949207993
71	0.1939268231
72	0.1931388137
73	0.1924625725
74	0.1915538237
75	0.1907843955
76	0.1900463123
77	0.1893262951
78	0.1887951974
79	0.1881760101
80	0.1875550291
81	0.1871233195
82	0.1863889099
83	0.1858853126
84	0.1855901488
85	0.1849790827
86	0.1845113383
87	0.1838757404
88	0.1831907126
89	0.1827219613
90	0.182101511
91	0.1815741911
92	0.1811035718
93	0.1806860376
94	0.180290324
95	0.1800100619
96	0.1796606702
97	0.1792857526
98	0.1787919315
99	0.1783090725
100	0.1776921799
101	0.1773419824
102	0.1770319721
103	0.1765783198
104	0.1762951504
105	0.1757099001
106	0.175146375
107	0.1748191341
108	0.1745789762
109	0.1742638345
110	0.173890527
111	0.173430606
112	0.1731670016
113	0.1726945268
114	0.1722239854
115	0.171856066
116	0.171545303
117	0.1712731771
118	0.170987359
119	0.1704643573
120	0.1700905501
121	0.1697670752
122	0.1695139513
123	0.1692046467
124	0.1688935151
125	0.1685773351
126	0.1683080389
127	0.1679413292
128	0.1675999875
129	0.1672364627
130	0.1669375589
131	0.1666840627
132	0.1664875616
133	0.1662623127
134	0.1660801809
135	0.1658122318
136	0.165240895
137	0.1649926064
138	0.1645987396
139	0.1642260189
140	0.1639366232
141	0.1637328006
142	0.1635497605
143	0.1631796159
144	0.1630008159
145	0.1627098788
146	0.1623342583
147	0.1621163364
148	0.1618691569
149	0.1616635123
150	0.1614680354
151	0.1610976213
152	0.1609785365
153	0.1607893851
154	0.1605832056
155	0.1601761578
156	0.1599552212
157	0.15970938
158	0.1594474947
159	0.1592021484
160	0.1589574752
161	0.1587560452
162	0.1586404083
163	0.158353609
164	0.1582261239
165	0.1579943924
166	0.1578057304
167	0.157515427
168	0.157144394
169	0.1568091592
170	0.1565478366
171	0.1562973629
172	0.1559536589
173	0.1555937293
174	0.1549491876
175	0.1546476947
176	0.1545004396
177	0.1543627242
178	0.1541747175
179	0.1539866376
180	0.1538121916
181	0.1534288549
182	0.1531214504
183	0.1529412926
184	0.1524490458
185	0.1523233641
186	0.1520300264
187	0.1517320309
188	0.1515515469
189	0.1513607249
190	0.1507609903
191	0.1504646047
192	0.1502859904
193	0.1500883711
194	0.1498578095
195	0.1491874322
196	0.1489087385
197	0.1487877313
198	0.1484791317
199	0.1482436076
200	0.1480578917
201	0.1478111611
202	0.1475437601
203	0.147284745
204	0.147123281
205	0.1466947889
206	0.146413343
207	0.1461746369
208	0.1459589238
209	0.1456426361
210	0.145420371
211	0.1450065201
212	0.1448721158
213	0.1447309361
214	0.1444842513
215	0.1442632306
216	0.1439648357
217	0.1437413219
218	0.1436269332
219	0.1434252658
220	0.143213767
221	0.1430175709
222	0.1428892225
223	0.1426689706
224	0.142282789
225	0.1421194711
226	0.1419260634
227	0.1418273023
228	0.1414633794
229	0.1412944417
230	0.1411208955
231	0.1409446564
232	0.1407835112
233	0.1406223564
234	0.1404305303
235	0.1400103268
236	0.1398566671
237	0.1397348109
238	0.1394977646
239	0.139327684
240	0.1392064455
241	0.1389647176
242	0.1387716628
243	0.1386588549
244	0.1381663124
245	0.1380056268
246	0.1378449389
247	0.1375992042
248	0.1374091123
249	0.1372166629
250	0.1370729672
251	0.1369095416
252	0.1365978884
253	0.1364736669
254	0.1363289401
255	0.1361122732
256	0.1359950167
257	0.1359066843
258	0.135727338
259	0.1354917464
260	0.1353196957
261	0.1351599217
262	0.1349683765
263	0.1348076608
264	0.1344230463
265	0.1342915751
266	0.134131458
267	0.1339660927
268	0.1337995746
269	0.1336346592
270	0.1335010895
271	0.1333244157
272	0.1330349143
273	0.1328260545
274	0.1327454749
275	0.1326038893
276	0.1322853161
277	0.1321532527
278	0.1320346576
279	0.1318589418
280	0.1316822181
281	0.1315234036
282	0.1314252779
283	0.1312763268
284	0.1311630038
285	0.1310402284
286	0.1308687501
287	0.1307540018
288	0.1305946166
289	0.1304419384
290	0.13025913
291	0.1301019923
292	0.1299945857
293	0.1298803087
294	0.1297599342
295	0.1296103736
296	0.1295280637
297	0.1294198516
