iter	Passed	Remaining
0	25	11534
1	51	11728
2	78	11737
3	97	10930
4	109	9844
5	125	9393
6	143	9183
7	160	8969
8	178	8819
9	196	8716
10	214	8633
11	231	8528
12	247	8400
13	264	8316
14	280	8205
15	295	8101
16	313	8048
17	328	7963
18	345	7908
19	361	7840
20	376	7764
21	393	7732
22	411	7704
23	428	7682
24	445	7649
25	463	7622
26	479	7589
27	496	7551
28	513	7522
29	530	7493
30	548	7486
31	567	7488
32	586	7485
33	605	7474
34	623	7459
35	641	7446
36	659	7430
37	676	7402
38	692	7370
39	708	7336
40	725	7307
41	743	7289
42	759	7255
43	775	7228
44	792	7206
45	813	7218
46	831	7196
47	847	7164
48	862	7131
49	879	7103
50	895	7077
51	911	7049
52	928	7025
53	946	7010
54	962	6983
55	978	6953
56	995	6932
57	1011	6904
58	1027	6881
59	1044	6859
60	1061	6836
61	1077	6815
62	1095	6796
63	1114	6792
64	1131	6770
65	1159	6817
66	1180	6820
67	1197	6794
68	1212	6766
69	1228	6740
70	1246	6721
71	1262	6699
72	1278	6673
73	1295	6651
74	1310	6624
75	1327	6602
76	1344	6580
77	1360	6559
78	1377	6537
79	1393	6515
80	1410	6493
81	1426	6470
82	1442	6449
83	1460	6432
84	1476	6407
85	1492	6386
86	1508	6363
87	1524	6342
88	1541	6323
89	1559	6305
90	1575	6286
91	1592	6266
92	1609	6246
93	1626	6230
94	1643	6210
95	1660	6193
96	1677	6173
97	1694	6153
98	1710	6131
99	1726	6110
100	1742	6089
101	1759	6071
102	1776	6052
103	1792	6031
104	1808	6010
105	1824	5990
106	1841	5971
107	1858	5953
108	1875	5936
109	1892	5917
110	1908	5896
111	1924	5875
112	1941	5857
113	1957	5837
114	1974	5820
115	1991	5802
116	2010	5791
117	2030	5781
118	2048	5768
119	2067	5755
120	2084	5737
121	2100	5717
122	2117	5698
123	2134	5681
124	2151	5662
125	2168	5646
126	2187	5631
127	2203	5611
128	2219	5592
129	2236	5574
130	2253	5556
131	2270	5539
132	2287	5521
133	2305	5505
134	2321	5486
135	2338	5467
136	2354	5448
137	2371	5430
138	2388	5412
139	2407	5399
140	2423	5380
141	2440	5361
142	2457	5344
143	2473	5325
144	2490	5307
145	2507	5289
146	2523	5270
147	2541	5254
148	2558	5236
149	2574	5217
150	2591	5199
151	2609	5183
152	2625	5166
153	2642	5146
154	2658	5128
155	2675	5111
156	2693	5095
157	2710	5077
158	2727	5059
159	2743	5041
160	2760	5023
161	2776	5005
162	2794	4988
163	2811	4971
164	2829	4955
165	2855	4954
166	2875	4941
167	2892	4923
168	2908	4905
169	2926	4888
170	2943	4871
171	2959	4852
172	2977	4835
173	2994	4818
174	3010	4799
175	3027	4781
176	3044	4764
177	3061	4747
178	3080	4733
179	3100	4720
180	3118	4703
181	3135	4685
182	3153	4669
183	3170	4651
184	3186	4633
185	3202	4614
186	3219	4597
187	3237	4580
188	3254	4562
189	3270	4544
190	3287	4527
191	3303	4508
192	3320	4490
193	3337	4472
194	3353	4454
195	3371	4437
196	3387	4419
197	3405	4402
198	3424	4388
199	3444	4375
200	3462	4358
201	3480	4342
202	3499	4326
203	3516	4309
204	3532	4291
205	3549	4272
206	3566	4256
207	3583	4238
208	3599	4219
209	3616	4202
210	3633	4184
211	3650	4166
212	3666	4148
213	3683	4131
214	3700	4113
215	3716	4094
216	3733	4078
217	3751	4061
218	3768	4044
219	3786	4027
220	3802	4009
221	3819	3991
222	3838	3976
223	3855	3958
224	3871	3940
225	3888	3922
226	3905	3905
227	3920	3886
228	3938	3869
229	3956	3852
230	3973	3835
231	3989	3817
232	4005	3799
233	4022	3781
234	4038	3763
235	4055	3746
236	4071	3728
237	4090	3712
238	4108	3695
239	4125	3678
240	4142	3660
241	4158	3642
242	4174	3624
243	4192	3608
244	4209	3590
245	4225	3572
246	4242	3555
247	4260	3538
248	4276	3520
249	4292	3502
250	4309	3485
251	4326	3467
252	4343	3450
253	4361	3433
254	4377	3416
255	4395	3399
256	4413	3382
257	4429	3364
258	4446	3347
259	4463	3330
260	4479	3312
261	4497	3295
262	4516	3280
263	4536	3265
264	4555	3248
265	4571	3231
266	4588	3213
267	4605	3196
268	4622	3178
269	4638	3161
270	4656	3144
271	4673	3127
272	4691	3110
273	4708	3093
274	4724	3075
275	4741	3058
276	4757	3040
277	4774	3022
278	4790	3004
279	4806	2986
280	4823	2969
281	4842	2953
282	4861	2937
283	4879	2920
284	4898	2904
285	4916	2887
286	4933	2870
287	4950	2853
288	4966	2835
289	4983	2818
290	5000	2800
291	5017	2783
292	5033	2765
