매물ID,모델,모델_원본,모델_LE,모델_평균가_TE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
37398208,렉스턴,렉스턴 스포츠 칸,35,2113.842105,1700,92801,2157,5,7,10,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
37424561,코란도,코란도 투리스모,92,658.9183673,750,118621,2157,5,10,6,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
38020327,티볼리,티볼리 에어,105,1023.075269,650,120313,1597,5,10,2,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
38261140,코란도,코란도 투리스모,92,658.9183673,650,82255,1998,5,12,5,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
38349931,렉스턴,G4 렉스턴,35,1783.857143,1670,93678,2157,5,9,11,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
38644690,코란도,뷰티풀 코란도,92,1788.536082,1499,72261,1597,5,7,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
38664369,렉스턴,렉스턴 스포츠,35,1540.094595,1880,75022,2157,5,7,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
39028073,코란도,뉴코란도 C,92,468.6666667,290,124234,1998,5,12,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39125310,체어맨,뉴체어맨 W,84,628.8888889,449,177104,3199,5,13,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
39167777,렉스턴,G4 렉스턴,35,1783.857143,1299,148146,2157,5,9,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
