매물ID,모델,모델_원본,모델_LE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
37398208,렉스턴,렉스턴 스포츠 칸,35,1700,92801,2157,5,7,10,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
38664369,렉스턴,렉스턴 스포츠,35,1880,75022,2157,5,7,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
39215444,렉스턴,더 뉴 렉스턴 스포츠 칸,35,3980,9807,2157,5,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39352895,렉스턴,더 뉴 렉스턴 스포츠 칸,35,1979,80818,2157,5,5,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
39399003,렉스턴,G4 렉스턴,35,2090,42193,2157,5,6,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
39410385,렉스턴,더 뉴 렉스턴 스포츠,35,3450,44135,2157,5,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
39427818,렉스턴,렉스턴 뉴 아레나,35,9990,2419,2157,4,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
39428025,렉스턴,렉스턴 스포츠,35,1745,82871,2157,5,5,2,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
39541611,토레스,더 뉴 토레스,100,2340,5735,1497,2,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
39582037,렉스턴,렉스턴 스포츠,35,1880,61810,2157,5,7,5,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
39914298,렉스턴,더 뉴 렉스턴 스포츠 칸,35,3130,17926,2157,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39963228,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2750,17507,2157,5,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
39986058,렉스턴,더 뉴 렉스턴 스포츠 칸,35,1920,21961,2157,5,5,2,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40043291,토레스,토레스,100,2155,122584,1497,5,3,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
40068268,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2050,95897,2157,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40089301,토레스,더 뉴 토레스,100,2799,5750,1497,5,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40124419,렉스턴,더 뉴 렉스턴 스포츠 칸,35,3100,40285,2157,5,4,4,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40139216,렉스턴,더 뉴 렉스턴 스포츠,35,3150,24546,2157,5,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40213125,렉스턴,더 뉴 렉스턴 스포츠,35,1999,95201,2157,5,5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40316621,렉스턴,렉스턴 스포츠 칸,35,1810,67312,2157,5,7,2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40402219,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2600,9138,2157,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40432116,렉스턴,렉스턴 스포츠 칸,35,1890,46444,2157,5,7,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
