모델_LE,모델_브랜드
0,EQ900
1,EV3
2,EV4
3,EV6
4,G70
5,G80
6,G90
7,GV60
8,GV70
9,GV80
10,K3
11,K5
12,K7
13,K8
14,K9
15,QM3
16,QM5
17,QM6
18,SM3
19,SM5
20,SM6
21,SM7
22,ST1
23,XM3
24,i30
25,i40
26,갤로퍼
27,그랜저
28,넥쏘
29,니로
30,다마스
31,다이너스티
32,라보
33,라세티
34,레이
35,렉스턴
36,로체
37,마르샤
38,마스터
39,마티즈
40,말리부
41,맥스크루즈
42,모닝
43,모하비
44,무쏘
45,베뉴
46,베라크루즈
47,벨로스터
48,볼트
49,셀토스
50,스타렉스
51,스타리아
52,스토닉
53,스팅어
54,스파크
55,스포티지
56,싼타페
57,쏘나타
58,쏘렌토
59,쏘울
60,쏠라티
61,아르카나
62,아반떼
63,아베오
64,아슬란
65,아이오닉
66,아이오닉5
67,아이오닉6
68,아이오닉9
69,아카디아
70,알페온
71,액티언
72,에스페로
73,에쿠스
74,엑센트
75,엑셀
76,오피러스
77,올란도
78,윈스톰
79,이쿼녹스
80,임팔라
81,제네시스
82,제네시스 쿠페
83,조에
84,체어맨
85,카니발
86,카렌스
87,카마로
88,캐스퍼
89,캡처
90,캡티바
91,코나
92,코란도
93,콜레오스
94,콜로라도
95,크루즈
96,클리오
97,타스만
98,타호
99,테라칸
100,토레스
101,투싼
102,트래버스
103,트랙스
104,트레일블레이저
105,티볼리
106,티코
107,팰리세이드
108,포니
109,포르테
110,프라이드
111,프레스토
