원본모델,모델_브랜드
All New SM7,SM7
All New 마티즈,마티즈
EQ900,EQ900
EV3,EV3
EV4,EV4
EV6,EV6
G4 렉스턴,렉스턴
G70,G70
G80,G80
G80 (RG3),G80
G90,G90
G90 (RS4),G90
GV60,GV60
GV70,GV70
GV80,GV80
GV80 쿠페,GV80
K3,K3
K3 쿱,K3
K5,K5
K5 2세대,K5
K5 3세대,K5
K5 하이브리드,K5
K5 하이브리드 3세대,K5
K7,K7
K7 프리미어,K7
K7 프리미어 하이브리드,K7
K7 하이브리드,K7
K8,K8
K8 하이브리드,K8
K9,K9
LF 쏘나타,쏘나타
LF 쏘나타 하이브리드,쏘나타
NF 쏘나타,쏘나타
NF 쏘나타 트랜스폼,쏘나타
QM3,QM3
QM5,QM5
QM5 네오,QM5
QM6,QM6
SM3 Z.E.,SM3
SM3 네오,SM3
SM5,SM5
SM5 노바,SM5
SM5 뉴 임프레션,SM5
SM6,SM6
SM7 New Art,SM7
SM7 노바,SM7
ST1,ST1
XM3,XM3
YF 쏘나타,쏘나타
i30,i30
i30 (PD),i30
i30(신형),i30
i40,i40
i40 살룬,i40
갤로퍼 2,갤로퍼
그랑 콜레오스,콜레오스
그랜드 스타렉스,스타렉스
그랜저,그랜저
그랜저 (GN7),그랜저
그랜저 HG,그랜저
그랜저 HG 하이브리드,그랜저
그랜저 IG,그랜저
그랜저 IG 하이브리드,그랜저
그랜저 TG,그랜저
그랜저 뉴 럭셔리,그랜저
그랜저 하이브리드 (GN7),그랜저
넥쏘,넥쏘
뉴 EF 쏘나타,쏘나타
뉴 다마스,다마스
뉴 라보,라보
뉴 볼트 EV,볼트
뉴 스타일 코란도 C,코란도
뉴 쏘렌토 R,쏘렌토
뉴 투싼 ix,투싼
뉴QM3,QM3
뉴QM5,QM5
뉴SM3,SM3
뉴SM5 플래티넘,SM5
뉴SM5(신형),SM5
뉴모닝,모닝
뉴무쏘,무쏘
뉴오피러스,오피러스
뉴체어맨,체어맨
뉴체어맨 W,체어맨
뉴카렌스,카렌스
뉴코란도,코란도
뉴코란도 C,코란도
니로,니로
니로 EV,니로
니로 플러스,니로
다이너스티,다이너스티
더 K9,K9
더 넥스트 스파크,스파크
더 넥스트 이쿼녹스,이쿼녹스
더 뉴 EV6,EV6
더 뉴 G70,G70
더 뉴 G70 슈팅브레이크,레이
더 뉴 K3,K3
더 뉴 K3 2세대,K3
더 뉴 K5,K5
더 뉴 K5 2세대,K5
더 뉴 K5 3세대,K5
더 뉴 K5 하이브리드 3세대,K5
더 뉴 K7,K7
더 뉴 K8,K8
더 뉴 K8 하이브리드,K8
더 뉴 K9,K9
더 뉴 K9 2세대,K9
더 뉴 QM6,QM6
더 뉴 SM6,SM6
더 뉴 i30,i30
더 뉴 i40,i40
더 뉴 i40 살룬,i40
더 뉴 그랜드 스타렉스,스타렉스
더 뉴 그랜저 IG,그랜저
더 뉴 그랜저 IG 하이브리드,그랜저
더 뉴 기아 레이,레이
더 뉴 기아 레이 EV,레이
더 뉴 니로,니로
더 뉴 레이,레이
더 뉴 렉스턴 스포츠,렉스턴
더 뉴 렉스턴 스포츠 칸,렉스턴
더 뉴 말리부,말리부
더 뉴 맥스크루즈,맥스크루즈
더 뉴 모닝,모닝
더 뉴 모닝 (JA),모닝
더 뉴 모하비,모하비
더 뉴 벨로스터,벨로스터
더 뉴 셀토스,셀토스
더 뉴 스파크,스파크
더 뉴 스포티지 5세대,스포티지
더 뉴 스포티지 5세대 하이브리드,스포티지
더 뉴 스포티지 R,스포티지
더 뉴 싼타페,싼타페
더 뉴 쏘렌토,쏘렌토
더 뉴 쏘렌토 4세대,쏘렌토
더 뉴 아반떼,아반떼
더 뉴 아반떼 (CN7),아반떼
더 뉴 아반떼 AD,아반떼
더 뉴 아반떼 하이브리드 (CN7),아반떼
더 뉴 아이오닉 일렉트릭,아이오닉
더 뉴 아이오닉 하이브리드,아이오닉
더 뉴 아이오닉5,아이오닉5
더 뉴 제네시스 쿠페,제네시스 쿠페
더 뉴 카니발,카니발
더 뉴 카니발 4세대,카니발
더 뉴 카렌스,카렌스
더 뉴 카마로,카마로
더 뉴 캐스퍼,캐스퍼
더 뉴 코나,코나
더 뉴 코나 하이브리드,코나
더 뉴 코란도 스포츠,코란도
더 뉴 토레스,토레스
더 뉴 투싼 (NX4),투싼
더 뉴 투싼 하이브리드 (NX4),투싼
더 뉴 트랙스,트랙스
더 뉴 트레일블레이저,트레일블레이저
더 뉴 티볼리,티볼리
더 뉴 티볼리 에어,티볼리
더 뉴 팰리세이드,팰리세이드
더 뉴 프라이드,프라이드
더 럭셔리 그랜저,그랜저
더 프레스티지 K7,K7
디 올 뉴 니로,니로
디 올 뉴 니로 EV,니로
라세티 프리미어,라세티
레이,레이
렉스턴 W,렉스턴
렉스턴 뉴 아레나,렉스턴
렉스턴 스포츠,렉스턴
렉스턴 스포츠 칸,렉스턴
로체 이노베이션,로체
리얼 뉴 콜로라도,콜로라도
마르샤,마르샤
마스터,마스터
마티즈 크리에이티브,마티즈
말리부,말리부
맥스크루즈,맥스크루즈
모닝,모닝
모닝 어반 (JA),모닝
모하비,모하비
모하비 더 마스터,모하비
베뉴,베뉴
베라크루즈,베라크루즈
베리 뉴 티볼리,티볼리
벨로스터,벨로스터
벨로스터 (JS),벨로스터
볼트 EUV,볼트
볼트 EV,볼트
뷰티풀 코란도,코란도
셀토스,셀토스
슈퍼 렉스턴,렉스턴
스타렉스,스타렉스
스타렉스 점보,스타렉스
스타리아,스타리아
스토닉,스토닉
스팅어,스팅어
스팅어 마이스터,스팅어
스파크,스파크
스포티지 4세대,스포티지
스포티지 5세대,스포티지
스포티지 5세대 하이브리드,스포티지
스포티지 R,스포티지
스포티지 더 볼드,스포티지
싼타페 (MX5),싼타페
싼타페 CM,싼타페
싼타페 DM,싼타페
싼타페 TM,싼타페
싼타페 더 프라임,싼타페
쏘나타 (DN8),쏘나타
쏘나타 뉴 라이즈,쏘나타
쏘나타 뉴 라이즈 하이브리드,쏘나타
쏘나타 더 브릴리언트,쏘나타
쏘나타 디 엣지 하이브리드(DN8),쏘나타
쏘나타 디 엣지(DN8),쏘나타
쏘나타 하이브리드,쏘나타
쏘나타 하이브리드 (DN8),쏘나타
쏘렌토 4세대,쏘렌토
쏘렌토 R,쏘렌토
쏘울 EV,쏘울
쏘울 부스터,쏘울
쏘울 부스터 EV,쏘울
쏠라티,쏠라티
아르카나,아르카나
아반떼 (CN7),아반떼
아반떼 AD,아반떼
아반떼 HD,아반떼
아반떼 MD,아반떼
아반떼 XD,아반떼
아반떼 하이브리드,아반떼
아반떼 하이브리드 (CN7),아반떼
아베오 세단,아베오
아베오 해치백,아베오
아슬란,아슬란
아이오닉 일렉트릭,아이오닉
아이오닉 하이브리드,아이오닉
아이오닉5,아이오닉5
아이오닉6,아이오닉6
아이오닉9,아이오닉9
아카디아,아카디아
알페온,알페온
액티언,액티언
액티언 2세대,액티언
액티언 스포츠,액티언
어메이징 뉴 크루즈,크루즈
어메이징 뉴 크루즈5,크루즈
에스페로,에스페로
에쿠스,에쿠스
에쿠스(신형),에쿠스
엑센트(신형),엑센트
엑셀,엑셀
오피러스 프리미엄,오피러스
올 뉴 K3,K3
올 뉴 K7,K7
올 뉴 K7 하이브리드,K7
올 뉴 렉스턴,렉스턴
올 뉴 말리부,말리부
올 뉴 모닝,모닝
올 뉴 모닝 (JA),모닝
올 뉴 쏘렌토,쏘렌토
올 뉴 쏘울,쏘울
올 뉴 카니발,카니발
올 뉴 카렌스,카렌스
올 뉴 카마로,카마로
올 뉴 크루즈,크루즈
올 뉴 투싼,투싼
올 뉴 프라이드,프라이드
올란도,올란도
윈스톰,윈스톰
윈스톰 맥스,윈스톰
이쿼녹스,이쿼녹스
일렉트리파이드 G80 (RG3),G80
일렉트리파이드 GV70,GV70
임팔라,임팔라
제네시스,제네시스
제네시스 DH,제네시스
제네시스 쿠페,제네시스 쿠페
조에,조에
체어맨 H 뉴 클래식,체어맨
카니발 4세대,카니발
카니발 R,카니발
캐스퍼,캐스퍼
캐스퍼 일렉트릭,캐스퍼
캡처,캡처
캡티바,캡티바
코나,코나
코나 (SX2),코나
코나 일렉트릭,코나
코나 일렉트릭 (SX2),코나
코나 하이브리드,코나
코나 하이브리드 (SX2),코나
코란도 C,코란도
코란도 스포츠,코란도
코란도 지프,코란도
코란도 투리스모,코란도
콜로라도,콜로라도
크루즈,크루즈
크루즈5,크루즈
클리오,클리오
타스만,타스만
타호,타호
테라칸,테라칸
토레스,토레스
토레스 EVX,토레스
투싼,투싼
투싼 (NX4),투싼
투싼 ix,투싼
투싼 하이브리드 (NX4),투싼
트래버스,트래버스
트랙스,트랙스
트랙스 크로스오버,트랙스
트레일블레이저,트레일블레이저
티볼리,티볼리
티볼리 아머,티볼리
티볼리 에어,티볼리
티코,티코
팰리세이드,팰리세이드
팰리세이드 (LX3),팰리세이드
포니투,포니
포르테,포르테
포르테 쿱,포르테
프라이드,프라이드
프라이드(신형),프라이드
프레스토,프레스토
