매물ID,모델_CV_TE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
41645527.0,2111.116369240809,2380.0,113938,2199,5,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41565789.0,3051.278578715162,3020.0,46112,2151,9,6,4,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41502547.0,1388.930725846779,580.0,139352,1999,5,12,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
40671374.0,975.3800599844934,440.0,145843,1461,5,12,5,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
41124638.0,874.7839727769713,440.0,140086,1591,5,14,6,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41652059.0,1069.698840886496,1050.0,135303,1999,5,11,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41594145.0,2679.5770441272334,2340.0,73826,2151,5,5,17,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41245306.0,4945.025698106101,7500.0,2699,2497,7,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
40760550.0,1069.4117477056461,9999.0,24504,1497,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41577058.0,1151.4328935758097,250.0,236087,1998,5,15,13,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
40929421.0,524.6686372075347,230.0,121508,995,5,14,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41166139.0,2575.316849657911,2990.0,59518,3649,5,4,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41652489.0,1041.091043206298,400.0,161045,1998,7,12,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41459212.0,5533.9164467879045,7500.0,62178,3470,5,4,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41401167.0,2230.05704984172,2480.0,46638,1998,5,7,6,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41534939.0,1928.1738801701335,1740.0,112608,1598,5,5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41606935.0,1292.561650635407,870.0,183679,1995,5,12,6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40980082.0,4967.267343618038,6750.0,3722,2497,9,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
41307397.0,2166.951980912589,2050.0,92398,1995,5,8,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41563752.0,1809.0620820586923,1999.0,99370,3342,5,8,4,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41425076.0,2504.0587385282315,4890.0,10736,2157,5,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41595735.0,1978.0792321476192,1850.0,34092,1580,5,4,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
41621873.0,2016.9838490359311,1430.0,59301,156,5,5,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
41562514.0,1443.7388962122027,419.0,103666,1362,5,11,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41601180.0,4037.4347395332784,4499.0,47658,3778,7,3,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41261616.0,3107.5037922281795,2580.0,100906,1598,5,5,2,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
41365574.0,3887.715415943222,6290.0,25234,3470,5,2,3,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
40952031.0,2404.2966123361366,2980.0,23667,3342,5,5,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41631570.0,2097.7679077441803,2560.0,56081,1999,5,3,4,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
41415813.0,1606.9375855599585,1520.0,41119,2359,5,9,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41133324.0,1636.0927372960623,1419.0,116562,2157,5,8,8,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41484452.0,1912.2728935758098,1670.0,147255,2359,5,8,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
41110571.0,2517.2425974748016,3330.0,44563,111,5,4,6,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
41460175.0,1093.2958558118692,700.0,121081,1685,5,10,7,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
41493923.0,1656.8701958634165,1440.0,72995,1591,5,9,5,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
41635491.0,889.1586590557033,300.0,183745,1591,5,14,7,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41053217.0,2375.3222247694616,2180.0,45517,2157,5,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
41565809.0,846.3052937951248,340.0,139563,1598,5,11,11,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
41603144.0,3329.4449686987673,2870.0,50178,2199,5,3,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41320199.0,1314.0178769433749,1130.0,85419,1999,5,7,4,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
41390663.0,1292.561650635407,850.0,157359,1995,7,14,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41538752.0,1198.6862461760772,450.0,142529,1998,5,12,14,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41410753.0,1348.4003334238096,1040.0,177713,2199,9,10,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41658710.0,2203.5860125701943,2630.0,55476,3778,5,8,3,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41589676.0,1404.691116969762,990.0,114545,1591,5,9,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41545578.0,2622.873404224098,3880.0,29548,3564,7,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41042809.0,1272.2032696969889,1050.0,92088,1995,7,12,2,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41564411.0,1139.7928935758098,450.0,161053,1999,5,13,19,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41325849.0,5116.484079391322,6690.0,27252,2497,7,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41394393.0,2685.9553649947866,2480.0,73815,2497,5,5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
41120366.0,2110.80024548786,2050.0,69485,1999,5,5,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41506429.0,1910.5709167558123,1290.0,68241,1597,5,7,4,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41451504.0,983.6932560606293,970.0,120294,5038,5,15,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41151096.0,1686.780677602122,9999.0,78122,998,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
40922604.0,1985.0783983165343,2050.0,94096,1591,5,5,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40397970.0,696.0541835887105,379.0,136296,1998,7,13,4,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41553362.0,1799.4548226263496,2190.0,99892,3778,4,11,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41517837.0,4298.336637428347,5080.0,23240,2497,5,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40634985.0,2599.8234632997355,3240.0,41384,1999,5,3,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
41150398.0,1725.8013962122027,1080.0,158469,1999,5,8,9,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41057727.0,524.6686372075347,230.0,159145,995,5,14,11,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
41329988.0,2991.0535759376003,2890.0,92617,2199,7,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41384435.0,2180.087891453879,1590.0,149474,1995,5,7,7,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41423637.0,868.7968433846734,650.0,168934,2999,5,12,19,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
41420522.0,1968.994923982721,1660.0,126182,2157,5,6,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41596002.0,1938.8230029771512,2790.0,2757,1598,5,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41622990.0,1227.3031369075704,950.0,36798,1998,5,12,9,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40815018.0,2073.6822339395244,3790.0,51756,120,5,2,2,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
41503265.0,1370.4953247209276,1450.0,45737,1999,5,9,6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41463472.0,4709.993419977602,6390.0,10324,2497,9,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41533625.0,1336.4919245179656,450.0,184589,2359,5,13,7,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41623620.0,2409.37846774725,2270.0,126643,3342,5,6,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41433832.0,2210.743617005899,2350.0,86299,1998,5,6,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41182074.0,3050.863428841182,3170.0,126745,2199,7,6,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40318764.0,873.31327051083,670.0,69331,2999,5,14,8,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41621030.0,3573.0381397215574,4390.0,82616,3778,5,5,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41474131.0,2480.9309645252697,2290.0,49735,1598,5,5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41323692.0,1995.6366081997203,1990.0,116025,3342,5,6,12,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41601271.0,1773.9309204216356,1299.0,73045,1998,5,5,9,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41631838.0,3887.715415943222,3500.0,62599,2497,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41628722.0,3820.933722006093,3399.0,82183,3470,5,5,5,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41033162.0,868.5241471474594,390.0,185723,2999,5,15,9,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
41120486.0,2571.9681713350064,2700.0,50653,3564,7,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41627299.0,1702.0632568765573,399.0,124344,2656,5,16,13,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41524990.0,1629.3507978355444,1730.0,33301,998,5,3,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40934670.0,1020.9965164587303,860.0,18952,999,5,7,4,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41054395.0,3922.2619590652344,5499.0,31043,3470,5,3,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41500660.0,2272.922226406973,2050.0,139527,2199,7,6,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41642616.0,1673.3638962122027,850.0,119128,1353,5,9,15,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41560863.0,2162.1364078659067,1990.0,160773,2199,5,8,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41373878.0,1023.8428060606167,9999.0,148991,2497,5,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41568515.0,1072.2370949184249,1440.0,53013,2497,5,9,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
41642438.0,2423.7475324916004,2099.0,3804,1598,5,1,4,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41405089.0,846.3052937951248,390.0,105647,1598,5,10,10,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
41053054.0,2415.879018855291,1660.0,75079,1598,5,4,3,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41564437.0,746.3873031090292,630.0,44742,999,5,11,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41025025.0,2372.163016709966,2999.0,18450,2497,5,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41416498.0,3946.9860014951337,3450.0,131444,2199,5,5,7,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
41228739.0,1075.4701003202865,670.0,126653,2497,12,16,6,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41183483.0,3106.829576024965,2580.0,73311,2151,9,4,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41151549.0,788.2172872054234,270.0,97590,1796,5,15,15,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41365027.0,2928.195337523398,2860.0,64781,2151,5,4,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41526504.0,1606.9375855599585,950.0,194300,2359,5,9,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41489284.0,755.892880497314,250.0,99786,1796,5,13,11,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41555907.0,1625.7570891327175,1400.0,152397,3342,5,8,5,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41235069.0,1107.7191972452383,290.0,88859,1598,5,13,9,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41390656.0,1826.1682233939523,1240.0,31372,998,4,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
37320192.0,516.9737631252439,299.0,97651,995,5,11,16,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41524709.0,965.203833437849,1090.0,93834,3778,5,12,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41302564.0,3112.4048620265253,2270.0,172044,2151,9,6,3,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41300169.0,3887.715415943222,4220.0,51432,2497,5,4,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41407642.0,1091.8726168456317,1070.0,156200,2497,3,9,2,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40373775.0,901.7888923351542,420.0,70895,1998,5,17,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
41297665.0,672.5083912183187,380.0,96952,1998,7,14,8,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41238891.0,2401.6038746733507,1890.0,124486,1497,5,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
41372245.0,2970.5947547138226,2949.0,60482,111,5,5,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
41433931.0,2048.4010154270563,910.0,192203,1995,5,11,2,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41427328.0,3087.6412859774277,3020.0,42475,3778,7,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41556396.0,1987.4643336523811,2870.0,32668,1998,5,4,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
41253018.0,1200.26291975175,600.0,158532,1582,5,10,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
41137247.0,2401.6038746733507,2579.0,28028,1497,5,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41259450.0,1748.741116969762,445.0,175144,2199,9,15,9,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41526750.0,2991.0535759376003,2590.0,75397,3778,7,7,4,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41588116.0,2426.6785846289163,2170.0,33427,1598,5,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
40903906.0,2571.9681713350064,2990.0,39192,3564,7,5,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41554852.0,3071.778388210894,3570.0,78142,111,5,4,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
40781845.0,696.0541835887105,720.0,130889,1998,7,9,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
