매물ID,제조사,모델,현재가격,차량연령,주행거리_km,연료,색상,지역,변속기,배기량,차급,좌석수,상사명,압류건수,저당건수,보험이력공개여부,보험이력건수,성능점검유형,옵션_기본코드 개수,옵션_선택코드 개수,옵션_튜닝코드 개수,옵션_기타개수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,보험이력_여부,사고종합_여부
41039835,0,78,3690,3,93138,3,17,1,1,1598,1,7,732,0,0,1,0,1,49,6,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41646550,0,3,3850,3,57202,5,2,8,1,111,6,5,267,0,0,1,0,1,47,5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41560900,0,57,1599,6,102058,4,2,1,1,2199,0,9,972,0,0,1,0,1,40,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
41534991,0,95,3360,3,35678,1,22,1,1,3470,0,7,636,0,0,1,0,1,48,7,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
40925596,0,68,4190,5,22425,4,1,1,1,2959,1,5,727,0,0,1,0,1,47,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41399309,0,39,490,11,191328,1,2,8,1,2359,3,5,144,0,0,1,11,1,39,2,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1
41277239,0,68,3990,3,86932,4,17,1,1,2959,1,6,234,0,0,1,0,1,47,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41539338,0,74,2990,4,15356,4,19,13,1,1998,1,5,745,0,0,1,0,1,44,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41479916,0,95,3430,3,45850,4,22,1,1,2151,0,9,732,0,0,1,2,1,49,8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
41530778,0,56,4190,2,21382,1,17,8,1,2497,1,6,133,0,0,1,0,1,50,5,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41516567,0,86,900,9,184823,1,2,1,1,2359,3,5,153,0,0,1,4,1,42,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1
40310580,0,86,1330,10,60118,1,17,5,1,2359,3,5,309,0,0,1,1,1,43,5,3,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
41433049,0,64,590,13,160418,1,2,1,1,998,2,5,864,0,0,1,1,1,27,3,0,0,0,0,1,0,1,1,0,1,0,1,1,2,0,1,1,1,1,1
40324931,0,64,699,10,108457,1,21,8,1,998,2,5,110,0,0,1,0,1,24,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
41415478,0,12,2190,3,73349,3,22,1,1,1999,7,5,478,0,0,1,0,1,37,2,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
41579911,0,64,420,14,180262,1,18,1,1,998,2,5,732,0,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,1
41441831,0,58,4550,2,22015,4,2,13,1,2151,0,9,968,0,0,1,0,1,51,8,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41522007,0,44,1479,3,41880,1,2,5,1,998,2,5,299,0,0,1,0,1,27,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1
41643591,0,7,380,14,170035,1,11,6,1,1998,7,5,197,0,0,1,0,1,25,0,0,0,0,0,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,1
41618428,0,86,1249,10,132330,1,22,6,1,3342,3,5,895,0,0,1,4,1,52,4,5,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41564200,0,16,790,10,168238,3,2,1,1,2359,3,5,567,0,0,1,2,1,39,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
41561699,0,55,1530,8,89894,4,22,8,1,2199,1,7,109,0,0,1,3,1,39,3,0,0,0,1,1,1,1,1,1,1,1,1,4,2,0,1,1,1,1,1
40025698,0,47,660,5,75048,1,22,6,1,998,2,2,308,0,0,1,3,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,1,1,1,1
41480011,0,74,2400,4,49626,4,22,1,1,1998,1,5,732,0,0,1,3,1,38,4,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
41513095,0,64,679,9,78550,1,18,6,1,998,2,2,895,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
