매물ID,모델,현재가격,제조사_기아,주행거리_km,배기량,좌석수,차량연령,사고강도점수,변속기,연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,색상_흰색,색상_검정색,색상_은색,색상_기타,차급_SUV,차급_세단,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트
41039835,쏘렌토 4세대,3690,1,93138,1598,7,3,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41646550,EV6,3850,1,57202,111,5,3,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41560900,더 뉴 카니발,1599,1,102058,2199,9,6,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1
41534991,카니발 4세대,3360,1,35678,3470,7,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
40925596,모하비 더 마스터,4190,1,22425,2959,5,5,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
41399309,더 뉴 K7,490,1,191328,2359,5,11,15,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
41277239,모하비 더 마스터,3990,1,86932,2959,6,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41539338,스포티지 5세대,2990,1,15356,1998,5,4,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
41479916,카니발 4세대,3430,1,45850,2151,9,3,5,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41530778,더 뉴 쏘렌토 4세대,4190,1,21382,2497,6,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
41516567,올 뉴 K7,900,1,184823,2359,5,9,8,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
40310580,올 뉴 K7,1330,1,60118,2359,5,10,3,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1
41433049,레이,590,1,160418,998,5,13,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1
