epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.57406,2.76592,4.38525,1.86528,0.01646,0.2,0.05146,0.00767,3.29004,4.02586,1.73659,0,0,0
2,2.03913,2.81113,4.35292,1.98014,0.01469,0.2,0.04979,0.00665,3.29602,4.02261,1.73536,6.99863e-06,6.99863e-06,6.99863e-06
3,2.39294,2.71133,4.45713,1.79795,0.01524,0.2,0.04687,0.00607,3.28715,4.00468,1.71633,1.37145e-05,1.37145e-05,1.37145e-05
4,2.66408,2.6974,4.3816,1.75292,0.00836,0.11667,0.03843,0.00384,3.31735,4.02717,1.74301,2.01477e-05,2.01477e-05,2.01477e-05
5,2.91396,2.72709,4.4604,1.87759,0.00832,0.11667,0.03842,0.00384,3.31157,4.02226,1.73698,2.6298e-05,2.6298e-05,2.6298e-05
6,3.16403,2.50529,4.34699,1.74858,0.00401,0.2,0.116,0.0116,3.29956,4.02125,1.74574,3.21657e-05,3.21657e-05,3.21657e-05
7,3.41382,2.67949,4.26122,1.89098,0.01108,0.28333,0.09389,0.01049,3.28172,4.02963,1.7674,3.77506e-05,3.77506e-05,3.77506e-05
8,3.72644,2.51447,4.42114,1.62752,0.01213,0.31667,0.1248,0.01344,3.31157,4.04261,1.78941,4.30528e-05,4.30528e-05,4.30528e-05
9,4.05232,2.74112,4.33181,1.77636,0.00475,0.2,0.19891,0.02019,3.15644,4.01306,1.65846,4.80722e-05,4.80722e-05,4.80722e-05
10,4.39189,2.52645,4.31879,1.6293,0.00613,0.23333,0.20361,0.02064,3.17391,4.01723,1.66712,5.28089e-05,5.28089e-05,5.28089e-05
11,4.77436,2.48289,4.34024,1.61418,0.01713,0.4,0.19098,0.02024,2.95627,3.96023,1.50242,5.72628e-05,5.72628e-05,5.72628e-05
12,5.11488,2.31853,4.3565,1.50689,0.00788,0.31667,0.18052,0.01951,2.75475,3.94038,1.41352,6.1434e-05,6.1434e-05,6.1434e-05
13,5.45441,2.17839,4.24716,1.52105,0.00777,0.31667,0.17808,0.03665,2.53158,3.91829,1.321,6.53224e-05,6.53224e-05,6.53224e-05
14,5.80879,2.04307,4.22876,1.49217,0.01637,0.4,0.1817,0.04002,2.25619,3.88044,1.2416,6.89281e-05,6.89281e-05,6.89281e-05
15,6.14253,1.90284,4.31764,1.35515,0.01726,0.4,0.18084,0.05831,2.08469,3.88924,1.19807,7.22511e-05,7.22511e-05,7.22511e-05
16,6.48273,1.69249,4.07335,1.325,0.01818,0.4,0.18408,0.06094,1.96547,3.91407,1.16189,7.52913e-05,7.52913e-05,7.52913e-05
17,6.82608,1.70693,4.08466,1.26693,0.02037,0.45556,0.18965,0.04516,1.8784,3.91157,1.13283,7.80488e-05,7.80488e-05,7.80488e-05
18,7.13732,1.67732,4.16573,1.29728,0.02037,0.45556,0.18965,0.04516,1.8784,3.91157,1.13283,8.05235e-05,8.05235e-05,8.05235e-05
19,7.4756,1.78367,4.15774,1.33503,0.01985,0.45556,0.19431,0.04636,1.81243,3.90291,1.11258,8.27155e-05,8.27155e-05,8.27155e-05
20,7.78951,1.60231,3.98851,1.25173,0.01985,0.45556,0.19431,0.04636,1.81243,3.90291,1.11258,8.46247e-05,8.46247e-05,8.46247e-05
21,8.12862,1.64632,4.13808,1.25557,0.01939,0.45556,0.20774,0.04875,1.73406,3.894,1.08735,8.62512e-05,8.62512e-05,8.62512e-05
22,8.45783,1.59296,3.98651,1.28133,0.01939,0.45556,0.20774,0.04875,1.73406,3.894,1.08735,8.75949e-05,8.75949e-05,8.75949e-05
23,8.80416,1.58922,3.91602,1.26927,0.02011,0.45556,0.26734,0.06674,1.67556,3.89362,1.07067,8.8656e-05,8.8656e-05,8.8656e-05
24,9.14155,1.49429,3.82546,1.17512,0.02011,0.45556,0.26734,0.06674,1.67556,3.89362,1.07067,8.94342e-05,8.94342e-05,8.94342e-05
25,9.4951,1.58116,3.94709,1.24865,0.0204,0.45556,0.18374,0.10008,1.66175,3.84886,1.02728,8.99297e-05,8.99297e-05,8.99297e-05
26,9.82183,1.59639,3.96338,1.19558,0.0204,0.45556,0.18374,0.10008,1.66175,3.84886,1.02728,9.01425e-05,9.01425e-05,9.01425e-05
27,10.1725,1.55983,3.89939,1.1481,0.0219,0.58889,0.15828,0.07865,1.61868,3.83739,1.00939,9.00725e-05,9.00725e-05,9.00725e-05
28,10.5127,1.61601,3.85187,1.2101,0.0219,0.58889,0.15828,0.07865,1.61868,3.83739,1.00939,8.97198e-05,8.97198e-05,8.97198e-05
29,10.8503,1.57974,3.89198,1.14456,0.02633,0.50556,0.19863,0.10181,1.61751,3.83907,1.00734,8.90844e-05,8.90844e-05,8.90844e-05
30,11.1785,1.43155,3.65492,1.10756,0.02633,0.50556,0.19863,0.10181,1.61751,3.83907,1.00734,8.81661e-05,8.81661e-05,8.81661e-05
31,11.5305,1.54872,3.72356,1.15802,0.02231,0.47222,0.20113,0.09734,1.61779,3.82961,1.00123,8.69652e-05,8.69652e-05,8.69652e-05
32,11.854,1.42839,3.61532,1.08007,0.02231,0.47222,0.20113,0.09734,1.61779,3.82961,1.00123,8.54815e-05,8.54815e-05,8.54815e-05
33,12.2111,1.36638,3.69476,1.05523,0.02322,0.47222,0.19994,0.10857,1.57608,3.84033,1.00063,8.37151e-05,8.37151e-05,8.37151e-05
34,12.5653,1.46782,3.56305,1.07511,0.02322,0.47222,0.19994,0.10857,1.57608,3.84033,1.00063,8.16659e-05,8.16659e-05,8.16659e-05
35,12.9107,1.54325,3.56033,1.12681,0.02773,0.52778,0.18215,0.0924,1.53358,3.8347,0.99638,7.9334e-05,7.9334e-05,7.9334e-05
36,13.2311,1.4642,3.36763,1.11534,0.02773,0.52778,0.18215,0.0924,1.53358,3.8347,0.99638,7.67193e-05,7.67193e-05,7.67193e-05
37,13.5804,1.42961,3.34536,1.10246,0.02751,0.52778,0.13288,0.07232,1.54025,3.83308,0.99563,7.38219e-05,7.38219e-05,7.38219e-05
38,13.8989,1.57519,3.28377,1.10491,0.02751,0.52778,0.13288,0.07232,1.54025,3.83308,0.99563,7.06417e-05,7.06417e-05,7.06417e-05
39,14.2475,1.53881,3.3953,1.18289,0.02986,0.69444,0.14535,0.07927,1.54629,3.82103,0.99294,6.71788e-05,6.71788e-05,6.71788e-05
